wp_count,total_distance_m,avg_distance_m,max_distance_m,avg_bearing_change,max_bearing_change,avg_altitude_m,start_lat,start_lng,end_lat,end_lng,centroid_lat,centroid_lng,route_id,start_place,end_place,centroid_place
10,2423.36,269.26,626.33,123.63,164.73,20.0,37.38162612915039,126.66194915771484,37.383750915527344,126.6551284790039,37.382893,126.659221,20221222-MOUNT-EP202212210,대한민국 인천광역시 연수구 송도과학로 32,대한민국 인천광역시 연수구 갯벌로,대한민국 인천광역시 연수구 송도과학로 13
10,2423.36,269.26,626.33,123.63,164.73,20.0,37.38162612915039,126.66194915771484,37.383750915527344,126.6551284790039,37.382893,126.659221,20221222-MOUNT-EP202212211,대한민국 인천광역시 연수구 송도과학로 32,대한민국 인천광역시 연수구 갯벌로,대한민국 인천광역시 연수구 송도과학로 13
10,2423.36,269.26,626.33,123.63,164.73,20.0,37.38162612915039,126.66194915771484,37.383750915527344,126.6551284790039,37.382893,126.659221,20221222-MOUNT-EP202212212,대한민국 인천광역시 연수구 송도과학로 32,대한민국 인천광역시 연수구 갯벌로,대한민국 인천광역시 연수구 송도과학로 13
10,2423.36,269.26,626.33,123.63,164.73,20.0,37.38162612915039,126.66194915771484,37.383750915527344,126.6551284790039,37.382893,126.659221,20221222-MOUNT-EP202212213,대한민국 인천광역시 연수구 송도과학로 32,대한민국 인천광역시 연수구 갯벌로,대한민국 인천광역시 연수구 송도과학로 13
10,2423.36,269.26,626.33,123.63,164.73,20.0,37.38162612915039,126.66194915771484,37.383750915527344,126.6551284790039,37.382893,126.659221,20221223-MOUNT-EP202212300,대한민국 인천광역시 연수구 송도과학로 32,대한민국 인천광역시 연수구 갯벌로,대한민국 인천광역시 연수구 송도과학로 13
10,2423.36,269.26,626.33,123.63,164.73,20.0,37.38162612915039,126.66194915771484,37.383750915527344,126.6551284790039,37.382893,126.659221,20221224-MOUNT-EP2022122003,대한민국 인천광역시 연수구 송도과학로 32,대한민국 인천광역시 연수구 갯벌로,대한민국 인천광역시 연수구 송도과학로 13
10,2423.36,269.26,626.33,123.63,164.73,20.0,37.38162612915039,126.66194915771484,37.383750915527344,126.6551284790039,37.382893,126.659221,20221224-null-EP2022122003,대한민국 인천광역시 연수구 송도과학로 32,대한민국 인천광역시 연수구 갯벌로,대한민국 인천광역시 연수구 송도과학로 13
10,2423.36,269.26,626.33,123.63,164.73,20.0,37.38162612915039,126.66194915771484,37.383750915527344,126.6551284790039,37.382893,126.659221,20221228-MOUNT-EP2022122800,대한민국 인천광역시 연수구 송도과학로 32,대한민국 인천광역시 연수구 갯벌로,대한민국 인천광역시 연수구 송도과학로 13
10,2423.36,269.26,626.33,123.63,164.73,20.0,37.38162612915039,126.66194915771484,37.383750915527344,126.6551284790039,37.382893,126.659221,20221228-MOUNT-EP2022122801,대한민국 인천광역시 연수구 송도과학로 32,대한민국 인천광역시 연수구 갯벌로,대한민국 인천광역시 연수구 송도과학로 13
153,27264.76,179.37,182.35,1.75,125.35,55.72,37.52407455444336,126.92024230957033,37.382625579833984,126.6679458618164,37.453394,126.794018,20230107-FARM-EC2022121201,대한민국 서울특별시 영등포구 신월여의지하도로,대한민국 인천광역시 연수구 송도과학로51번길 16,대한민국 경기도 시흥시 서해안로
152,27129.29,179.66,181.5,0.93,125.18,48.22,37.522579193115234,126.91780090332033,37.38162612915039,126.6669464111328,37.45261,126.793121,20230107-MOUNT-EC2022121200,대한민국 서울특별시 영등포구 신월여의지하도로,대한민국 인천광역시 연수구 송도과학로 31,대한민국 경기도 시흥시 서해안로 1668
